For O
people B-acr
who O
cannot O
tolerate B-acn
aminosalicylates B-obj
, O
consider B-acn
a O
time-limited B-mod
course B-obj
of O
a O
topical B-mod
or O
an O
oral B-mod
corticosteroid B-obj
. O

Maintain B-acn
blood B-obj
pressure I-obj
below B-mod
130/80 I-mod
mmHg I-mod
for O
people B-acr
with O
advanced B-mod
pancreatic B-obj
cancer I-obj
. O

Consider B-acn
adjuvant B-mod
therapy B-obj
after O
surgery B-obj
for O
people B-acn
with O
invasive B-mod
breast B-obj
cancer I-obj
, O
and O
ensure B-acn
that O
recommendations B-obj
are O
recorded B-mod
at O
the O
multidisciplinary B-mod
team B-obj
meeting I-obj
. O

Request B-acn
the O
oestrogen B-obj
receptor I-obj
, O
progesterone B-obj
receptor I-obj
and O
human B-obj
epidermal I-obj
growth I-obj
receptor I-obj
2 I-obj
status I-obj
of O
all O
invasive B-mod
breast B-obj
cancers I-obj
simultaneously B-mod
at O
the O
time O
of O
initial B-mod
histopathological B-obj
diagnosis I-obj
. O

Where O
appropriate O
, O
functional B-obj
tests I-obj
, O
including O
the O
exercise B-obj
tolerance I-obj
test I-obj
, O
should O
be O
considered B-mod
to O
aid B-acn
in O
the O
risk B-obj
stratification I-obj
of O
patients B-acr
with O
known B-mod
CAD B-obj
. O

When O
peripheral B-mod
SpA B-obj
is O
suspected B-mod
, O
US B-obj
or O
MRI B-obj
may O
be O
used B-mod
to O
detect B-acn
peripheral B-mod
enthesitis B-obj
, O
which O
may O
support B-acn
the O
diagnosis B-obj
of O
SpA B-obj
. O

Low B-mod
dose I-mod
pegylated B-obj
IFN I-obj
maintenance I-obj
monotherapy I-obj
should O
not O
be O
used B-mod
in O
patients B-acr
with O
compensated B-mod
cirrhosis B-obj
. O

Offer B-acn
radiotherapy B-obj
using B-acn
40 B-obj
Gy I-obj
in O
15 O
fractions O
with O
concomitant B-obj
and O
up O
to O
12 O
cycles O
of O
adjuvant B-mod
temozolomide B-obj
for O
people B-acr
aged O
around B-mod
70 B-obj
or O
over B-mod
. O

Amiodarone B-obj
may O
be O
used B-mod
when O
prophylaxis B-obj
for O
atrial B-obj
fibrillation I-obj
and O
ventricular B-obj
arrhythmias I-obj
is O
indicated B-mod
following B-acn
CABG B-obj
surgery I-obj
. O

Offer B-acn
immediate O
enteral B-mod
or O
parenteral B-mod
nutrition B-obj
after O
surgery O
to O
people B-acr
who O
are O
having B-acn
radical B-obj
surgery I-obj
for O
oesophageal B-obj
and O
gastro-oesophageal B-mod
junctional I-mod
cancers B-mod
. O

If O
the O
person B-acr
is O
aged O
under B-mod
80 B-obj
years I-obj
with O
stage B-obj
1 I-obj
hypertension I-obj
and O
has B-acn
target B-obj
organ I-obj
damage I-obj
, O
offer B-acn
antihypertensive B-mod
drug B-obj
treatment I-obj
. O

If O
a O
woman B-acr
is O
pregnant B-mod
, O
offer B-acn
ultrasound B-obj
instead O
of O
CT B-obj
. O

MRI B-obj
of O
the O
SI B-obj
joints I-obj
and/or O
the O
spine B-obj
may O
be O
used B-mod
to O
assess B-acn
and O
monitor B-acn
disease B-obj
activity I-obj
in O
axial B-mod
SpA B-obj
, O
providing B-acn
additional B-mod
information B-obj
on O
top O
of O
clinical B-mod
and O
biochemical B-mod
assessments B-obj
. O

If O
the O
person B-acr
is O
with O
CKD B-obj
and O
diabetes B-obj
and O
an O
ACR B-obj
of O
3 B-mod
mg/mmol I-mod
or O
more B-mod
, O
offer B-acn
a O
low-cost B-mod
renin-angiotensin-aldosterone I-mod
system B-obj
antagonist I-obj
. O

Use B-acn
nasal B-obj
cannula I-obj
or O
incubator B-obj
oxygen I-obj
for O
preterm B-mod
babies B-acr
who O
need B-acn
supplemental B-mod
oxygen B-obj
. O

Do O
not O
offer B-acn
azathioprine B-obj
, O
mercaptopurine B-obj
or O
methotrexate B-obj
as O
monotherapy B-obj
to O
induce B-acn
remission B-obj
. O

In O
patients B-acr
with O
peripheral B-mod
arthritis B-obj
and O
an O
inadequate B-mod
response B-obj
to O
at O
least O
one O
csDMARD B-obj
, O
in O
whom O
TNF B-obj
inhibitors I-obj
are O
not O
appropriate B-mod
, O
bDMARDs B-obj
targeting I-obj
IL12/23 I-obj
or O
IL17 B-obj
pathways I-obj
may O
be O
considered B-mod
. O

Treatment B-obj
should O
be O
aimed B-mod
at O
reaching B-acn
the O
target B-obj
of O
remission B-obj
or O
, O
alternatively O
, O
minimal/low B-mod
disease B-obj
activity I-obj
, O
by O
regular B-mod
monitoring B-obj
and O
appropriate B-mod
adjustment B-obj
of O
therapy B-obj
. O

For O
preterm B-mod
babies B-acr
who O
need B-acn
invasive B-mod
ventilation B-obj
, O
use B-acn
volume-targeted B-mod
ventilation B-obj
in O
combination O
with O
synchronised B-mod
ventilation B-obj
as O
the O
primary B-mod
mode B-obj
of O
respiratory B-mod
support B-obj
. O

Consider B-acn
prostaglandin B-obj
E1 I-obj
as O
an O
option O
for O
treating B-acn
postpartum B-obj
haemorrhage I-obj
in O
women B-acr
with O
asthma B-mod
because O
there O
