Duloxetine should be considered for the treatment of patients with diabetic neuropathic pain if other first or second line pharmacological <e1>therapies</e1> have <e2>failed</e2> .	actor-of(e1,e2)
In patients with peripheral arthritis and an <e1>inadequate</e1> <e2>response</e2> to at least one csDMARD , therapy with a bDMARD , usually a TNF inhibitor , should be commenced .	modifier(e1,e2)
Offer parathyroid surgery to <e1>women</e1> who <e2>have</e2> primary hyperparathyroidism and are considering pregnancy .	actor-of(e1,e2)
Patients with heart failure with reduced ejection fraction , NYHA class 2-4 , who are <e1>intolerant</e1> of angiotensin converting enzyme <e2>inhibitors</e2> should be given an angiotensin receptor blocker .	modifier(e1,e2)
If HbA1c rises to 48 mmol/mol ( 6.5 % ) on lifestyle interventions , consider a DPP-4i , pioglitazone , an SU , an SGLT-2i , and <e1>support</e1> the <e2>person</e2> to aim for an HbA1c level of 48 mmol/mol ( 6.5 % ) for people on a DPP-4i , SGLT-2i or pioglitazone or 53 mmol/mol ( 7 % ) for people on an SU .	acts-on(e1,e2)
CVD risk assessment is recommended for all patients with RA , <e1>AS</e1> or <e2>PsA</e2> at least once every 5 years and should be reconsidered following major changes in antirheumatic therapy .	choice
In patients with active enthesitis and/or <e1>dactylitis</e1> and insufficient <e2>response</e2> to NSAIDs or local glucocorticoid injections , therapy with a bDMARD should be considered , which according to current practice is a TNF inhibitor .	joint
<e1>Offer</e1> contrast-enhanced brain MRI for <e2>people</e2> with stage 3 NSCLC who are having treatment with curative intent .	receiver(e2,e1)
Consider second-line palliative chemotherapy for <e1>people</e1> with oesophago-gastric <e2>cancer</e2> .	owner(e1,e2)
<e1>Measure</e1> N-terminal pro-B-type natriuretic peptide in <e2>people</e2> with suspected heart failure .	receiver(e2,e1)
If HbA1c rises to 58 mmol/mol ( 7.5 % ) , consider triple therapy with metformin and a DPP-4i and an SU , metformin and pioglitazone and an SU , metformin and pioglitazone and an SGLT-2i , metformin and an SU and an SGLT-2i , insulin-based treatment , and support the person to <e1>aim</e1> for an HbA1c <e2>level</e2> of 53 mmol/mol ( 7 % ) .	acts-on(e1,e2)
Consider a maintenance dosage higher than 20 mg/kg daily if therapeutic efficacy is not achieved , while ensuring that a safe plasma <e1>level</e1> is <e2>maintained</e2> .	modifier(e2,e1)
Review <e1>intravenous</e1> <e2>antibiotics</e2> by 48 hours and consider stepping down to oral antibiotics where possible .	modifier(e1,e2)
Human papillomavirus vaccination should be considered in <e1>selected</e1> <e2>patients</e2> with AIIRD .	modifier(e1,e2)
Olaparib monotherapy should be considered for maintenance treatment after response to platinum for <e1>patients</e1> with relapsed platinum sensitive BRCA mutated ovarian <e2>cancer</e2> .	owner(e1,e2)
Review antibiotic treatment after 14 days and either stop the antibiotic or continue for a further 14 days if needed , based on an assessment of the person's <e1>history</e1> , <e2>symptoms</e2> , clinical examination , urine and blood tests .	joint
Do not offer dedicated brain imaging to people with clinical stage 1 NSCLC who have no neurological symptoms and are having <e1>treatment</e1> with curative <e2>intent</e2> .	other
Patients with hepatitis C virus and concurrent <e1>operable</e1> hepatocellular <e2>carcinoma</e2> should be offered liver transplantation .	modifier(e1,e2)
